Filename;SignatureFileVersion;PUID;puidName;LogLines
10.ai;V1\;Unknown,;not known,;7
10.ai;V10\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V11\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V12\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V13\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V16\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V17\;;;6
10.ai;V18\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V19\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V2\;Not yet assigned,;not known,;7
10.ai;V20\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V21\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V22\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V23\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V24\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V25\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V26\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V28\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V29\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V3\;Not yet assigned,;not known,;7
10.ai;V31\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V32\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V33\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V34\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V35\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V36\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V37\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V38\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V39\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V4\;Not yet assigned,;not known,;7
10.ai;V40\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V41\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V42\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V43\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V44\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V45\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V46\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V47\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V48\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V49\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V5\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V50\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V51\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V52\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V55\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V58\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V59\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V6\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V60\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V61\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V62\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V63\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V65\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V66\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V67\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V68\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V69\;fmt/559,;Adobe Illustrator,;7
10.ai;V7\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V70\;fmt/559,;Adobe Illustrator,;7
10.ai;V72\;fmt/559,;Adobe Illustrator,;7
10.ai;V73\;fmt/559,;Adobe Illustrator,;7
10.ai;V74\;fmt/559,;Adobe Illustrator,;7
10.ai;V75\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V77\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
10.ai;V78\;fmt/18,;Acrobat PDF 1.4 - Portable Document Format,;7
