Filename;SignatureFileVersion;PUID;puidName;LogLines
033226.gif;V1\;Not yet assigned,;not known,;7
033226.gif;V10\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V11\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V12\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V13\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V16\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V17\;;;6
033226.gif;V18\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V19\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V2\;Not yet assigned,;not known,;7
033226.gif;V20\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V21\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V22\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V23\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V24\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V25\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V26\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V28\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V29\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V3\;Not yet assigned,;not known,;7
033226.gif;V31\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V32\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V33\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V34\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V35\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V36\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V37\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V38\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V39\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V4\;Not yet assigned,;not known,;7
033226.gif;V40\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V41\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V42\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V43\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V44\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V45\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V46\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V47\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V48\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V49\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V5\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V50\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V51\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V52\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V55\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V58\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V59\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V6\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V60\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V61\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V62\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V63\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V65\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V66\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V67\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V68\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V69\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V7\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V70\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V72\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V73\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V74\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V75\;fmt/4,;Graphics Interchange Format,;7
033226.gif;V77\;fmt/4,;Graphics Interchange Format,;7
