Filename;SignatureFileVersion;PUID;puidName;LogLines
011228.jpg;V1\;Not yet assigned,;not known,;7
011228.jpg;V10\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V11\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V12\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V13\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V16\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V17\;;;6
011228.jpg;V18\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V19\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V2\;Not yet assigned,;not known,;7
011228.jpg;V20\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V21\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V22\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V23\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V24\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V25\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V26\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V28\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V29\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V3\;Not yet assigned,;not known,;7
011228.jpg;V31\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V32\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V33\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V34\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V35\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V36\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V37\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V38\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V39\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V4\;Not yet assigned,;not known,;7
011228.jpg;V40\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V41\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V42\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V43\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V44\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V45\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V46\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V47\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V48\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V49\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V5\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V50\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V51\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V52\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V55\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V58\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V59\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V6\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V60\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V61\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V62\;fmt/44,;JPEG File Interchange Format,;7
011228.jpg;V63\;fmt/44,;JPEG File Interchange Format,;7
