Filename;SignatureFileVersion;PUID;puidName;LogLines
PDF_1_7_686086805.pdf;V1\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V10\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V11\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V12\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V13\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V16\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V17\;;;6
PDF_1_7_686086805.pdf;V18\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V19\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V2\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V20\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V21\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V22\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V23\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V24\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V25\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V26\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V28\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V29\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V3\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V31\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V32\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V33\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V34\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V35\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V36\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V37\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V38\;fmt/276,;Acrobat PDF 1.7 - Portable Document Format,;7
PDF_1_7_686086805.pdf;V39\;fmt/276,;Acrobat PDF 1.7 - Portable Document Format,;7
PDF_1_7_686086805.pdf;V4\;Unknown,;not known,;7
PDF_1_7_686086805.pdf;V40\;fmt/276,;Acrobat PDF 1.7 - Portable Document Format,;7
PDF_1_7_686086805.pdf;V41\;fmt/276,;Acrobat PDF 1.7 - Portable Document Format,;7
PDF_1_7_686086805.pdf;V42\;fmt/276,;Acrobat PDF 1.7 - Portable Document Format,;7
PDF_1_7_686086805.pdf;V43\;fmt/276,;Acrobat PDF 1.7 - Portable Document Format,;7
PDF_1_7_686086805.pdf;V44\;fmt/276,;Acrobat PDF 1.7 - Portable Document Format,;7
PDF_1_7_686086805.pdf;V45\;fmt/276,;Acrobat PDF 1.7 - Portable Document Format,;7
PDF_1_7_686086805.pdf;V46\;fmt/276,;Acrobat PDF 1.7 - Portable Document Format,;7
